name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;conditions
bangkalan;01/12/2023 00:00;27;30.6;25;88.84;0;0;;0;0;9.4;9.4;270;1009;50;7;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 01:00;27.9;32.2;24.6;82.23;0;0;;0;0;4.3;3.6;281;1008.9;73.9;6.6;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 02:00;27;31.2;26;94.27;0;0;;0;0;3.6;13;70;1008;50;3;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 03:00;27;31.2;26;94.27;0;0;;0;0;6.1;3.6;80;1007;50;5;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 04:00;27.2;31.9;26.2;94.56;2;100;rain;0;0;8.3;0.5;320;1008.4;79.3;7.1;0;0;0;10;Rain, Partially cloudy
bangkalan;01/12/2023 05:00;27;31.2;26;94.27;0;0;;0;0;10.4;5.4;300;1008;27.5;4;0;0;0;30;Partially cloudy
bangkalan;01/12/2023 06:00;27;31.2;26;94.27;0;0;rain;0;0;10.8;5.4;310;1009;50;4;43;0.2;0;30;Partially cloudy
bangkalan;01/12/2023 07:00;27.9;34;26.9;94.31;0;0;;;0;5.8;5.4;250;1010.6;100;4;196;0.7;2;30;Overcast
bangkalan;01/12/2023 08:00;28;33.6;26;88.92;0;0;;0;0;5;5.4;230;1010;50;5;387;1.4;4;10;Partially cloudy
bangkalan;01/12/2023 09:00;29;35.6;26;83.9;0;0;;0;0;7.9;1.8;41.3;1010;50;5;551;2;6;10;Partially cloudy
bangkalan;01/12/2023 10:00;31;39.1;26;74.79;0;0;rain;0;0;11.9;3.6;19.7;1009;50;9;632;2.3;6;30;Partially cloudy
bangkalan;01/12/2023 11:00;32;40.6;26;70.66;0;0;;0;0;9.7;7.6;330;1009;50;9;540;1.9;5;30;Partially cloudy
bangkalan;01/12/2023 12:00;33;40.6;25;62.93;0;0;;0;0;10.8;3.6;339.9;1007;50;10;484;1.7;5;30;Partially cloudy
bangkalan;01/12/2023 13:00;31;39.1;26;74.79;0;0;;0;0;10.1;14.8;340;1007;50;8;136;0.5;1;10;Partially cloudy
bangkalan;01/12/2023 14:00;27;30.1;24;83.68;0;0;;0;0;10.4;18.4;280;1007;50;8;245;0.9;2;10;Partially cloudy
bangkalan;01/12/2023 15:00;27;30.1;24;83.68;0;0;;0;0;7.9;14.8;220;1007;50;8;475;1.7;5;10;Partially cloudy
bangkalan;01/12/2023 16:00;27.9;31.9;24.1;79.71;0;0;rain;0;0;10.1;8.8;227;1007.3;63.3;9;69;0.2;1;10;Partially cloudy
bangkalan;01/12/2023 17:00;27;30.1;24;83.68;0;0;rain;0;0;21.2;18.4;240;1008;50;9;6;0;0;10;Partially cloudy
bangkalan;01/12/2023 18:00;27;30.6;25;88.84;0;0;rain;0;0;28.1;14.8;230;1008;50;9;2;0;0;10;Partially cloudy
bangkalan;01/12/2023 19:00;26.6;26.6;24.4;87.71;0;0;rain;0;0;28.8;6.2;253;1009.1;61.5;8;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 20:00;26;26;24;88.76;0;0;;0;0;28.1;13;230;1009;50;8;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 21:00;26;26;24;88.76;0;0;;0;0;22.7;9.4;230;1009;50;8;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 22:00;25.5;25.5;23.9;91.3;0;0;;0;0;15.1;7.1;277;1009.7;74.8;7.5;0;0;0;10;Partially cloudy
bangkalan;01/12/2023 23:00;25;25;24;94.19;0;0;;0;0;19.8;7.6;260;1009;27.5;7;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 00:00;25;25;24;94.19;0;0;;0;0;19.1;5.4;300;1008;27.5;5;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 01:00;25.1;25.1;23.9;92.89;0;0;;0;0;11.9;3.6;350;1007.6;48.3;5;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 02:00;25;25;24;94.19;0;0;;0;0;6.1;3.6;168.2;1007;27.5;5;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 03:00;25;25;24;94.19;0;0;;0;0;4.7;9.4;210;1007;27.5;5;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 04:00;25.2;25.2;24;93.26;0;0;;0;0;7.6;5;270;1007.2;48.3;5;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 05:00;25;25;24;94.19;0;0;;0;0;10.8;9.4;290;1008;27.5;5;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 06:00;26;26;25;94.23;0;0;;0;0;13.7;7.6;240;1008;27.5;4;39;0.1;0;10;Partially cloudy
bangkalan;02/12/2023 07:00;26.5;26.5;24.3;87.93;0;0;;;0;12.6;1.6;230;1009.4;70.9;7.2;183;0.7;2;10;Partially cloudy
bangkalan;02/12/2023 08:00;28;31.9;24;78.92;0;0;;0;0;13.3;3.6;171.5;1010;27.5;5;408;1.5;4;10;Partially cloudy
bangkalan;02/12/2023 09:00;30;35.1;24;70.29;0;0;;0;0;13;3.6;160.9;1010;27.5;5;609;2.2;6;10;Partially cloudy
bangkalan;02/12/2023 10:00;31.3;37.2;24.1;65.53;0;0;;0;0;9.7;10;167;1010.2;45;10;745;2.7;7;10;Partially cloudy
bangkalan;02/12/2023 11:00;33;40.6;25;62.93;0.1;100;rain;0;0;7.9;11.2;110;1009;27.5;10;762;2.7;8;10;Rain, Partially cloudy
bangkalan;02/12/2023 12:00;33;40.6;25;62.93;0.4;100;rain;0;0;7.9;9.4;90;1008;27.5;10;737;2.7;7;10;Rain, Partially cloudy
bangkalan;02/12/2023 13:00;33.9;42.4;25.3;60.92;0;0;rain;0;0;10.8;13.6;53;1007.5;45;10;559;2;6;30;Partially cloudy
bangkalan;02/12/2023 14:00;33;40.6;25;62.93;0;0;rain;0;0;13;18.4;40;1007;27.5;10;370;1.3;4;30;Partially cloudy
bangkalan;02/12/2023 15:00;32;37.9;24;62.71;0.9;100;rain;0;0;15.8;16.6;100;1006;27.5;10;263;0.9;3;30;Rain, Partially cloudy
bangkalan;02/12/2023 16:00;31.2;37.8;24.8;69.06;0;0;rain;0;0;17.6;12.4;77;1007.1;69.4;10;150;0.5;2;30;Partially cloudy
bangkalan;02/12/2023 17:00;31;37.7;25;70.48;0.2;100;rain;0;0;15.5;16.6;80;1008;27.5;10;55;0.2;1;30;Rain, Partially cloudy
bangkalan;02/12/2023 18:00;29;34.5;25;79.06;0.3;100;rain;0;0;9.7;14.8;250;1008;27.5;9;7;0;0;10;Rain, Partially cloudy
bangkalan;02/12/2023 19:00;28.1;33.2;25.3;84.91;0;0;rain;0;0;5.4;13.1;216;1008.9;83.2;6.9;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 20:00;27;30.1;24;83.68;0;0;;0;0;4.3;9.4;240;1009;50;10;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 21:00;27;30.1;24;83.68;0.1;100;rain;0;0;6.1;9.4;220;1009;50;8;0;0;0;10;Rain, Partially cloudy
bangkalan;02/12/2023 22:00;26.3;26.3;24.2;88.43;0;0;;0;0;8.6;8;257;1009.4;63.3;8;0;0;0;10;Partially cloudy
bangkalan;02/12/2023 23:00;27;30.1;24;83.68;0;0;;0;0;7.2;3.6;230;1009;50;8;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 00:00;27;30.1;24;83.68;0;0;;0;0;5.8;3.6;200;1008;50;8;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 01:00;26.3;26.3;24.9;91.88;0;0;;0;0;4;2.3;220;1008.4;70.9;6.1;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 02:00;25;25;24;94.19;0;0;;0;0;3.2;9.4;270;1008;27.5;5;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 03:00;25;25;24;94.19;0;0;;0;0;3.6;9.4;270;1007;27.5;5;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 04:00;25.6;25.6;24.7;94.4;0;0;;0;0;4.7;2.3;250;1008.1;59.4;6.1;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 05:00;25;25;24;94.19;0;0;;0;0;4;5.4;270;1008;27.5;5;0;0;0;10;Partially cloudy
bangkalan;03/12/2023 06:00;26;26;25;94.23;0;0;;0;0;3.6;5.4;280;1009;27.5;8;42;0.2;0;10;Partially cloudy
bangkalan;03/12/2023 07:00;28.2;33.2;25.1;83.35;0;0;;;0;3.6;1.1;223.3;1010.2;44.7;7.2;200;0.7;2;30;Partially cloudy
bangkalan;03/12/2023 08:00;30;35.1;24;70.29;0;0;;0;0;4.7;3.6;216;1010;27.5;5;501;1.8;5;30;Partially cloudy
bangkalan;03/12/2023 09:00;32;39.2;25;66.58;0;0;rain;0;0;5.4;7.6;120;1010;27.5;7;706;2.5;7;30;Partially cloudy
bangkalan;03/12/2023 10:00;33;39.5;24.1;59.52;0;0;rain;0;0;4.7;12.4;147;1010.1;60;10;819;2.9;8;30;Partially cloudy
bangkalan;03/12/2023 11:00;34;40.6;24;56.05;0.7;100;rain;0;0;4.7;9.4;316.8;1009;27.5;10;944;3.4;9;30;Rain, Partially cloudy
bangkalan;03/12/2023 12:00;34;39.4;23;52.77;0.8;100;rain;0;0;6.8;13;60;1008;50;10;882;3.2;9;30;Rain, Partially cloudy
bangkalan;03/12/2023 13:00;33.7;39.9;23.9;56.64;0;0;;0;0;6.8;11.2;70;1008.5;80;10;901;3.2;9;30;Partially cloudy
