name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;conditions
surabaya;01/12/2023 00:00;27;30.6;25;88.84;0;0;;0;0;11.9;9.4;270;1009;50;7;0;0;0;30;Partially cloudy
surabaya;01/12/2023 01:00;27.9;32;24.4;81.4;0;0;;0;0;6.1;3.6;258;1009;75.9;7.1;0;0;0;30;Partially cloudy
surabaya;01/12/2023 02:00;27;31.2;26;94.27;0;0;rain;0;0;2.5;13;70;1008;50;3;0;0;0;30;Partially cloudy
surabaya;01/12/2023 03:00;27;31.2;26;94.27;0;0;;0;0;5.4;3.6;80;1007;50;5;0;0;0;30;Partially cloudy
surabaya;01/12/2023 04:00;27.2;31.9;26.1;93.51;2;100;rain;0;0;7.2;0.4;320;1008.4;82.9;7.4;0;0;0;30;Rain, Partially cloudy
surabaya;01/12/2023 05:00;27;31.2;26;94.27;0;0;;0;0;9.4;5.4;300;1008;27.4;4;0;0;0;30;Partially cloudy
surabaya;01/12/2023 06:00;27;31.2;26;94.27;0;0;;0;0;9.4;5.4;310;1009;50;4;42;0.2;0;30;Partially cloudy
surabaya;01/12/2023 07:00;27.9;34;26.9;94.31;0;0;rain;0;0;6.1;5.4;250;1010.6;100;4;203;0.7;2;30;Overcast
surabaya;01/12/2023 08:00;28;33.6;26;88.92;0;0;;0;0;2.5;5.4;230;1010;50;5;404;1.5;4;30;Partially cloudy
surabaya;01/12/2023 09:00;29;35.6;26;83.9;0;0;;0;0;4.3;1.8;57.2;1010;50;5;551;2;6;10;Partially cloudy
surabaya;01/12/2023 10:00;31;39.1;26;74.79;0;0;;0;0;7.6;3.6;38.7;1009;50;9;706;2.5;7;10;Partially cloudy
surabaya;01/12/2023 11:00;32;40.6;26;70.66;0;0;;0;0;7.2;7.6;330;1009;50;9;748;2.7;7;10;Partially cloudy
surabaya;01/12/2023 12:00;33;40.6;25;62.93;0;0;rain;0;0;5.4;3.6;8.5;1007;50;10;602;2.2;6;30;Partially cloudy
surabaya;01/12/2023 13:00;31;39.1;26;74.79;0;0;rain;0;0;13;14.8;340;1007;50;8;271;1;3;30;Partially cloudy
surabaya;01/12/2023 14:00;27;30.1;24;83.68;0;0;;0;0;17.3;18.4;280;1007;50;8;94;0.3;1;10;Partially cloudy
surabaya;01/12/2023 15:00;27;30.1;24;83.68;0;0;rain;0;0;11.2;14.8;220;1007;50;8;232;0.8;2;10;Partially cloudy
surabaya;01/12/2023 16:00;27.9;31.9;24.1;79.7;0;0;rain;0;0;14;8.8;226;1007.3;63.2;9;52;0.2;1;10;Partially cloudy
surabaya;01/12/2023 17:00;27;30.1;24;83.68;0;0;rain;0;0;17.6;18.4;240;1008;50;9;9;0;0;10;Partially cloudy
surabaya;01/12/2023 18:00;27;30.6;25;88.84;0;0;rain;0;0;22.3;14.8;230;1008;50;9;1;0;0;10;Partially cloudy
surabaya;01/12/2023 19:00;26.8;29.7;24.3;86.3;0;0;;0;0;20.9;4.1;253;1009.1;60.9;8;0;0;0;10;Partially cloudy
surabaya;01/12/2023 20:00;26;26;24;88.76;0;0;;0;0;19.1;13;230;1009;50;8;0;0;0;10;Partially cloudy
surabaya;01/12/2023 21:00;26;26;24;88.76;0;0;;0;0;15.5;9.4;230;1009;50;8;0;0;0;10;Partially cloudy
surabaya;01/12/2023 22:00;25.5;25.5;24;91.17;0;0;;0;0;14.4;5.9;278;1009.8;83.4;7.7;0;0;0;10;Partially cloudy
surabaya;01/12/2023 23:00;25;25;24;94.19;0;0;;0;0;13;7.6;260;1009;27.4;7;0;0;0;10;Partially cloudy
surabaya;02/12/2023 00:00;25;25;24;94.19;0;0;;0;0;11.9;5.4;300;1008;27.4;5;0;0;0;10;Partially cloudy
surabaya;02/12/2023 01:00;25.1;25.1;23.9;92.9;0;0;;0;0;12.2;3.6;350;1007.6;48;5;0;0;0;10;Partially cloudy
surabaya;02/12/2023 02:00;25;25;24;94.19;0;0;;0;0;7.6;3.6;138.9;1007;27.4;5;0;0;0;10;Partially cloudy
surabaya;02/12/2023 03:00;25;25;24;94.19;0;0;;0;0;7.9;9.4;210;1007;27.4;5;0;0;0;10;Partially cloudy
surabaya;02/12/2023 04:00;25.2;25.2;24;93.27;0;0;;0;0;6.1;5.1;270;1007.2;48;5;0;0;0;10;Partially cloudy
surabaya;02/12/2023 05:00;25;25;24;94.19;0;0;;0;0;8.6;9.4;290;1008;27.4;5;0;0;0;3;Partially cloudy
surabaya;02/12/2023 06:00;26;26;25;94.23;0;0;;0;0;11.5;7.6;240;1008;27.4;4;43;0.2;0;3;Partially cloudy
surabaya;02/12/2023 07:00;26.6;26.6;24.3;87.32;0;0;;0;0;8.3;1.1;230;1009.5;77.4;7.8;186;0.7;2;3;Partially cloudy
surabaya;02/12/2023 08:00;28;31.9;24;78.92;0;0;;0;0;4.3;3.6;213.5;1010;27.4;5;370;1.3;4;10;Partially cloudy
surabaya;02/12/2023 09:00;30;35.1;24;70.29;0;0;;0;0;4.3;3.6;220.5;1010;27.4;5;578;2.1;6;10;Partially cloudy
surabaya;02/12/2023 10:00;31.3;37.2;24.1;65.54;0;0;;0;0;4;10;167;1010.2;44.7;10;784;2.8;8;10;Partially cloudy
surabaya;02/12/2023 11:00;33;40.6;25;62.93;0;0;;0;0;4.3;11.2;110;1009;27.4;10;868;3.1;9;10;Partially cloudy
surabaya;02/12/2023 12:00;33;40.6;25;62.93;0;0;;0;0;6.8;9.4;90;1008;27.4;10;863;3.1;9;10;Partially cloudy
surabaya;02/12/2023 13:00;33.9;42.4;25.3;60.91;0;0;;0;0;9.7;13.5;53;1007.5;44.7;10;766;2.8;8;10;Partially cloudy
surabaya;02/12/2023 14:00;33;40.6;25;62.93;0;0;;0;0;10.1;18.4;40;1007;27.4;10;585;2.1;6;10;Partially cloudy
